# source=gaiadr3.gaia_source via astroquery.Gaia(ROW_LIMIT=-1) query="SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE 1=CONTAINS(POINT('ICRS',ra,dec),CIRCLE('ICRS',133.85963729756944,-42.59317653588868,2.1)) AND phot_g_mean_mag < 14.0" fetched_utc=2026-06-17T05:06:53.303882+00:00
ra,dec,phot_g_mean_mag
131.0996357921678,-42.64919068492049,3.8256030082702637
132.79619868974544,-41.661235736891264,7.776388168334961
131.89049910038972,-42.48524278453325,8.063003540039062
131.7853943984642,-42.70322969505891,8.39456844329834
134.23813799257132,-42.153915771385556,8.402595520019531
133.342488789525,-43.753096816416644,8.683381080627441
136.01140516619927,-43.843335031368845,8.74329662322998
136.20319602454987,-42.401679153719165,8.983879089355469
135.2818444512756,-44.1149224362471,9.160874366760254
131.90747467140312,-42.55756128971851,9.545082092285156
131.93869924274122,-41.353402305637296,9.657100677490234
134.13564067880426,-43.25997249990437,9.807327270507812
131.44968798892413,-42.6194108971165,9.81391429901123
132.95580778044211,-41.838383478305126,10.012224197387695
133.53602079075867,-40.569116034913435,10.021921157836914
133.80475040854262,-41.21755713549415,10.02397632598877
133.5771874884136,-43.18995328689076,10.094313621520996
132.6974245413992,-43.038532884685026,10.097622871398926
133.96253185337153,-41.6075181674202,10.184392929077148
132.11912614444972,-42.02192349661427,10.258749961853027
136.08923792149028,-42.762905502991885,10.283357620239258
133.18312718955906,-44.28714949215168,10.429939270019531
131.84371181732914,-41.930066832544135,10.448652267456055
132.72246975224198,-43.751267721852535,10.462491035461426
133.02958613168866,-42.1619915800081,10.500696182250977
132.06041368978023,-44.196088451866906,10.512784004211426
135.73306413480782,-43.166540130080456,10.533304214477539
134.96951195387788,-42.88821655937715,10.540700912475586
133.45810584987376,-41.172070835137795,10.543242454528809
134.92014858504268,-43.0269272373516,10.574226379394531
134.37177152631338,-42.09129524319097,10.606314659118652
135.99666762098798,-43.17921185885628,10.611475944519043
133.35394283501196,-44.21468924837181,10.618030548095703
131.02842092472372,-42.577410508712475,10.671680450439453
134.94522428480744,-43.26727167510516,10.674816131591797
132.7784593914332,-41.686910505006864,10.67835521697998
136.56078212046822,-43.16866359063708,10.693768501281738
133.7115740980242,-44.22896746814568,10.707124710083008
134.42941961197306,-41.83863675038596,10.732928276062012
133.2562878485994,-40.542911005378585,10.765829086303711
135.48444454479105,-43.57660822338409,10.776031494140625
133.68662233227008,-44.61078381613049,10.810855865478516
131.94055183154472,-42.9046641457561,10.811293601989746
132.70050546269817,-44.050508625884994,10.841024398803711
134.13015118570695,-41.769281850510055,10.852126121520996
131.18236415340053,-42.04636745577994,10.877516746520996
132.76464097534438,-43.21298038407583,10.968347549438477
135.88768756678775,-42.03987340444403,11.075281143188477
135.26120025026188,-41.35384385206404,11.120251655578613
131.1458465183695,-43.053479960677315,11.141132354736328
135.74776209449624,-42.261998993026886,11.19267749786377
133.71689571926115,-44.22425064026707,11.243626594543457
133.5601938335875,-44.3517674464912,11.313496589660645
134.96853207092295,-43.53270316047641,11.338858604431152
131.46929485278895,-41.992737602884496,11.358291625976562
131.89575243496964,-41.59126065904371,11.374568939208984
132.8457189892543,-40.91388396773231,11.377817153930664
131.7765208758794,-42.55497412791086,11.385841369628906
136.583213213976,-42.762075738304475,11.510209083557129
132.2311600291821,-43.41835564770633,11.51750659942627
134.52541737917488,-41.164491436004724,11.550741195678711
134.07461382468082,-42.94624574714559,11.56398868560791
134.85830993734234,-43.61405794290595,11.565800666809082
134.8009257029156,-40.618346187771785,11.586009979248047
132.51680234522993,-41.94833611834318,11.586607933044434
132.7868205918148,-44.12040809822532,11.58689022064209
134.49191368477753,-42.87542707782492,11.601242065429688
131.682818854721,-42.84358236253281,11.602399826049805
132.7299481491683,-40.74703078752962,11.613937377929688
132.07800377469934,-43.307550525705516,11.618096351623535
134.36946542084445,-42.01318218972001,11.63371467590332
131.57960169612045,-42.790859551742315,11.705227851867676
131.99127166531892,-42.56618826152128,11.761634826660156
133.23876708813245,-42.70630571223051,11.761848449707031
134.6947164816966,-42.06523277607372,11.780932426452637
134.27370251494196,-43.28877990129901,11.785889625549316
135.96165167513232,-41.88448511826562,11.786766052246094
133.5700814052378,-42.03477263073811,11.810534477233887
135.60903660836817,-40.99870632605532,11.812082290649414
131.63094489930123,-41.69297991456964,11.837922096252441
133.58704229505582,-44.527672075765906,11.838309288024902
131.05706007801214,-42.97025631838839,11.846780776977539
133.87960841831867,-40.7281119201963,11.86316204071045
135.9693590820287,-41.91353381556502,11.890552520751953
134.1054562307709,-42.61531913861408,11.894669532775879
133.73300244136271,-41.21190019220265,11.906364440917969
131.98297321022042,-43.113052085884945,11.924543380737305
132.5662907793119,-43.23441877019291,11.941191673278809
135.56315245679906,-42.55318505388452,11.94990062713623
134.05534836108507,-41.01899792636071,11.955199241638184
131.52528060392797,-42.59795079910045,11.956945419311523
132.38019762277364,-42.43070127994503,11.963610649108887
134.6381861785066,-41.728951860526244,11.985563278198242
135.0074834608012,-41.896625418953235,11.995148658752441
134.30003548765032,-44.48599647864149,11.997477531433105
132.88664296189862,-41.789377886029904,12.007201194763184
133.51053869747065,-40.9146869322445,12.01405143737793
135.0442950049284,-41.94592033684105,12.022685050964355
136.48149584535608,-43.18853237100047,12.045760154724121
133.79687851464382,-43.378293761370664,12.047523498535156
132.46206166958146,-41.61986958321556,12.049972534179688
135.61547521573596,-41.995494025958145,12.055106163024902
133.84468882981042,-41.38754735289381,12.05516529083252
135.0380199739711,-43.03427268448906,12.065159797668457
131.94379099732632,-42.668023139775755,12.082758903503418
133.73457737862122,-42.78958783617751,12.095202445983887
134.72470063265845,-43.004536364854296,12.100733757019043
135.6711609953399,-42.29766738134801,12.103983879089355
134.73899099899728,-44.33580676577048,12.12750244140625
133.008998980906,-41.8281709189527,12.131269454956055
134.3850391791403,-41.995692096235906,12.135544776916504
133.55550509536596,-44.44486986281188,12.13587760925293
134.3118931562655,-43.48174647495443,12.147138595581055
132.8550146827328,-43.91118954860249,12.15812873840332
135.03347654376765,-41.86972969456999,12.162651062011719
133.21975673663462,-41.56974840484532,12.164556503295898
133.88017502049334,-42.004695327498446,12.175683975219727
135.2242097250479,-41.74152284932497,12.175910949707031
133.89502859702662,-44.43906841629608,12.187594413757324
132.80714965603812,-42.38110295871674,12.206232070922852
132.37828069421047,-42.692858563505645,12.208600044250488
132.8406038507464,-42.30837422207499,12.2282075881958
136.0956543316021,-42.08840920788326,12.229046821594238
133.63488396448088,-41.54504234767622,12.229201316833496
133.38688479547343,-43.759589697359246,12.230428695678711
132.65720115910472,-44.23684862815567,12.233359336853027
132.77870220240013,-44.03505626351814,12.244772911071777
136.02609490631744,-41.54352043709245,12.248234748840332
136.0820172417179,-42.59148065348168,12.25351619720459
132.42112876911338,-40.93591467360505,12.267122268676758
134.37567393413522,-41.18510513931772,12.287117958068848
132.314365908277,-42.62412699063566,12.303482055664062
135.22185605528435,-42.12916444101418,12.3185453414917
133.6357031270601,-43.31402873010781,12.339746475219727
131.94774713609561,-43.85362827136086,12.340866088867188
136.52342590312998,-43.12278347716736,12.35134220123291
131.37116547913547,-43.61233722191768,12.35846996307373
132.72689728245857,-44.52084039166326,12.362225532531738
132.32121314221772,-41.20088312670057,12.393162727355957
135.93734590901948,-41.23225232291527,12.393752098083496
132.9894133587148,-43.19408141561069,12.402935028076172
131.55858136356903,-41.87270908239515,12.409045219421387
134.55511280487386,-40.814602877415034,12.418588638305664
132.53145250596802,-43.72218649829761,12.427041053771973
135.0245930661435,-41.49851292887495,12.427142143249512
133.88373271385572,-43.75741200088031,12.4299955368042
133.52732663048596,-43.14373182359062,12.433786392211914
133.0523188081785,-41.291363821657995,12.438596725463867
135.3714076536754,-41.38259916325136,12.43921184539795
134.5185093762906,-44.59790740893162,12.445045471191406
134.84252761630768,-42.54111164966778,12.453177452087402
134.39280720792516,-42.63820397869515,12.458900451660156
133.387207221491,-41.91079135266634,12.463512420654297
134.29198014567024,-41.848331852847984,12.47159194946289
133.71982181266281,-43.37292300999183,12.474591255187988
132.82738989938085,-42.647847444241734,12.478486061096191
134.4887770474493,-41.84966999793146,12.48509407043457
134.18875689866707,-42.65250325149171,12.49133586883545
131.2373029714397,-42.41922938991794,12.504064559936523
133.63664675773708,-44.407711467971055,12.512053489685059
136.2335740992133,-42.97192094811144,12.520435333251953
136.14571902487472,-42.896445748260966,12.537219047546387
133.45166022139395,-42.1866085847589,12.544778823852539
133.41384241921043,-41.40063118231205,12.547229766845703
131.3995325955071,-42.405303767191114,12.561066627502441
136.57104084260706,-43.160470177457036,12.569991111755371
132.11413717434897,-42.864745118028374,12.57131576538086
133.6739442310088,-41.58639908997709,12.572100639343262
134.77384909377602,-41.74550209196185,12.578222274780273
134.40915889815162,-42.47684454418368,12.585023880004883
133.81579916531905,-42.63057742986714,12.607221603393555
132.25439444572882,-42.511163351676466,12.610982894897461
135.6208123375191,-43.480118592542716,12.617476463317871
133.0609475835208,-41.240496525358964,12.623664855957031
133.8962037417339,-43.097362853185466,12.62608814239502
135.8066718196255,-41.148164171146114,12.630576133728027
131.73350580379753,-43.10402826515651,12.635445594787598
131.26726179937347,-41.76646118554379,12.637092590332031
133.5944351087316,-43.074790050949005,12.642627716064453
131.9458306332171,-41.81944565704521,12.650223731994629
134.21442358265574,-42.5936668297877,12.652383804321289
132.6503912704825,-41.930777859559484,12.653301239013672
132.89341108191996,-42.806309706563034,12.657182693481445
134.25857598501815,-43.17611079063846,12.688067436218262
133.79880993610902,-44.46214364521826,12.695430755615234
134.3117664754837,-41.46349528423434,12.704483985900879
134.4218259633389,-42.05124132115521,12.712453842163086
132.9353287651425,-41.75223922857464,12.712601661682129
133.65917076457822,-42.754826336611444,12.717052459716797
134.43487597365012,-43.19630151061652,12.726284980773926
136.14199041979475,-43.43511160598931,12.730815887451172
133.67909701508069,-42.51934418600793,12.7401762008667
131.65681540177206,-42.35169477850767,12.751618385314941
135.14428321358588,-41.01371815502404,12.755149841308594
136.16053570352508,-42.77717430399799,12.755982398986816
131.76428453524935,-43.71691047588371,12.760218620300293
133.22978637043238,-41.68714492449511,12.762292861938477
133.41471934126133,-43.49544484364184,12.76676082611084
133.09922003570003,-43.86279356859788,12.767844200134277
135.1468713274699,-43.10900589574158,12.77800464630127
131.4476223960812,-43.438104864091876,12.791230201721191
131.51294791891002,-42.98436973387842,12.797795295715332
133.26185013759556,-41.92787677896425,12.80461311340332
134.77140800752787,-44.011617801827136,12.809226036071777
134.99797516310744,-41.22789415402867,12.81574535369873
135.1172475313633,-42.772869846272975,12.818778991699219
133.47401304861637,-42.38117774660379,12.827481269836426
134.90610893952206,-40.676796171543494,12.841080665588379
133.6890898830297,-44.587687252468676,12.843031883239746
133.79192726608545,-42.82172793298094,12.846892356872559
134.54700919043466,-42.58889020034416,12.851728439331055
131.85176965919905,-41.569817821449014,12.869697570800781
131.7012137089983,-41.78550571063455,12.873135566711426
133.39523037155004,-44.54130454995133,12.87334156036377
133.29824773666823,-41.671383987965676,12.878113746643066
134.373950725443,-43.02487678826121,12.88158130645752
135.23501511708108,-42.090762334153595,12.888132095336914
132.16358513256296,-41.2947142147158,12.89017105102539
135.4193990376185,-42.36246479426682,12.890761375427246
132.86685292711968,-43.795633060194085,12.891048431396484
135.1400409562756,-41.234479157097425,12.89429759979248
136.49901135014213,-42.877555686827534,12.895737648010254
135.41144019054383,-43.18057083349336,12.903209686279297
132.89673408767328,-44.04161210458522,12.912680625915527
133.7512644505477,-43.95461072590698,12.918277740478516
136.2201924167752,-42.73567262772841,12.92356014251709
132.84409622211442,-43.19397442037527,12.926178932189941
132.73872242495196,-40.89145659003042,12.933181762695312
135.76145516247973,-43.59329359766186,12.936166763305664
134.36050471054995,-42.27722597095462,12.937437057495117
133.322839335943,-43.608135942055966,12.940719604492188
135.62118722166727,-41.92874858922354,12.945581436157227
132.88230614385552,-40.78326256770827,12.953534126281738
