# source=gaiadr3.gaia_source via astroquery.Gaia(ROW_LIMIT=-1) query="SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE 1=CONTAINS(POINT('ICRS',ra,dec),CIRCLE('ICRS',35.527547220270634,26.54777537359267,1.6)) AND phot_g_mean_mag < 14.0" fetched_utc=2026-06-17T04:24:19.210013+00:00
ra,dec,phot_g_mean_mag
35.871941857479484,25.113832666314533,13.119902610778809
35.50365891611261,24.99828220552767,13.28799057006836
35.81888382152006,25.31545659270045,12.59769344329834
35.81056265068362,25.31586403840397,13.468173027038574
34.74145281384861,25.358323436032638,13.594283103942871
35.16054956354202,25.326518524600985,13.330545425415039
35.24849387453153,25.621889631529747,13.644747734069824
36.01375629788358,25.31630989195524,13.236857414245605
36.48357201395442,25.41064718658525,9.469799995422363
36.490452177871134,25.498097958690526,10.065754890441895
36.35525939062791,25.56824047613579,11.921632766723633
36.386095253782095,25.667499184386486,12.628716468811035
36.89614715527789,25.70728168168159,12.554683685302734
36.709771112753,25.896813183373794,13.412267684936523
37.01396380991701,26.32442373369459,9.930898666381836
35.91811372365078,25.36115704455749,11.674712181091309
35.90600174738295,25.576115000671248,13.948457717895508
36.33825488673897,25.741643871611107,13.362619400024414
36.07852906061654,25.739926992099182,12.180048942565918
35.78597087691108,25.87675086903385,11.242486000061035
35.567314811207126,26.157253181398254,8.346810340881348
36.027157390828556,26.374332768722585,13.793478965759277
35.79959943497955,26.51046604530393,13.286606788635254
37.19964399304316,26.631387792907294,13.26803970336914
36.24978556036369,26.369718262828485,11.807862281799316
36.00284865766516,26.568013597685688,11.129457473754883
36.224288441244354,26.81225407397256,13.068072319030762
36.19558646091057,26.85189051119252,13.408533096313477
36.49595021531704,27.115931793035898,12.961404800415039
34.165605853642724,25.640509749115637,12.596338272094727
34.439100372001334,25.65463687262185,13.446477890014648
34.40152071644633,25.868713795517372,9.228452682495117
34.857081372292114,25.80293240813824,13.893058776855469
34.091956013206996,26.18575372031718,11.513114929199219
34.785931306257034,26.25911422760913,13.932535171508789
34.43728801843547,26.301627289986627,10.745933532714844
34.36695540534096,26.4839026406702,13.899895668029785
34.425942409179534,26.473102065277256,12.811726570129395
33.92662071102439,26.155880852920504,11.133892059326172
33.806586706117244,26.52170429784687,10.565149307250977
34.090165563019774,26.784260258609276,13.425232887268066
33.76276022380166,26.790050957926773,13.32872486114502
35.127260092860645,26.577104355401133,12.532486915588379
35.53031688073036,26.302532297946783,13.748103141784668
35.42657668739248,26.462200372471912,13.288522720336914
34.768180724904916,26.47533834596829,13.329029083251953
35.374877377341384,26.981206187069418,8.980367660522461
35.97933987455451,26.788556280076154,13.302573204040527
35.839451373255855,26.862303422577007,13.43070125579834
35.941319854761154,26.982544232047957,12.554361343383789
35.87504891031163,27.18201232217048,12.32866382598877
36.53479739299496,27.280823496914007,11.151097297668457
36.18229233342587,27.268375785942805,13.586149215698242
36.21160103766807,27.383830513970608,10.700355529785156
35.70043331836211,27.146835454438897,12.832916259765625
35.65991370874117,27.50917239783632,12.285530090332031
35.657735145617174,27.530344270437073,12.83746337890625
35.82544598058326,27.833905748781543,12.171292304992676
34.46158224536006,26.866861543975517,12.74125862121582
34.36161080861357,27.136114039278784,10.563032150268555
34.99109971288569,27.13896827359046,9.785189628601074
35.030630206686574,27.372880497833886,12.959555625915527
34.5979605010407,27.199997082638664,13.138599395751953
34.367645574799866,27.24830451113272,13.584909439086914
34.226257342528896,27.242830105758966,10.72707748413086
35.266763259153,27.46141019913882,13.16396427154541
35.09899506710457,27.77187546865259,13.492810249328613
35.576657100302846,27.768061101229996,12.018502235412598
35.69236837321355,27.89283613721797,13.884261131286621
35.43967944691791,27.973517618233465,13.759359359741211
35.41008780825638,28.083550601362884,13.133919715881348
36.97817687482975,27.027655130499575,13.13113784790039
36.81276790462439,27.58987576962015,13.982070922851562
